Freq. Range[8,1.299000e+01]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
001_BL01.set;1;7.356269;5.194731;1.441162;2.140151;4.488702;3.015106;1.785523;-0.531652;4.123177;2.982774
001_BL02.set;1;9.430886;4.828732;1.834959;1.709666;4.752476;0.747035;2.544932;-0.470149;4.317677;2.623219
001_BL03.set;1;-1.877726;-1.691485;-4.961253;-4.738090;-0.788428;-1.596571;-4.332427;-5.372573;-0.073827;-0.716872
001_BL04.set;1;0.409925;0.708492;-3.201242;-2.920979;0.713063;0.274013;-3.677230;-4.368790;0.897493;0.702055
001_IBOE.set;1;2.303690;1.459728;-1.523768;-1.941054;2.837836;1.715990;-2.139763;-3.690052;-0.455788;-2.230079
002_BL01.set;1;3.719420;2.274628;-5.072046;-4.560005;0.263704;-0.843821;-4.460733;-5.930060;0.476753;-2.418151
002_BL02.set;1;2.853531;2.688446;-4.451582;-2.831306;1.563099;1.062721;-3.119217;-6.101333;0.597894;-2.308264
002_BL03.set;1;4.489291;2.993833;-4.415468;-3.875436;-0.504979;0.232873;-6.836805;-5.141687;-2.361189;-2.108314
002_BL04.set;1;4.039861;2.316796;-4.407211;-4.203422;2.229198;0.714159;-3.274825;-5.190382;1.286425;-1.593950
002_IBOE.set;1;6.217966;6.120265;-0.401592;0.798496;5.618370;5.683119;2.947662;1.630003;9.211986;6.444543
003_BL01.set;1;-1.903408;-1.043745;-4.205859;-4.128726;1.133437;1.570132;-3.286313;-2.636589;-0.181558;1.119203
003_BL02.set;1;-1.626314;-0.808268;-4.804232;-4.262118;-0.146546;0.671607;-3.461946;-3.120031;-0.620705;0.072080
003_BL03.set;1;-2.203964;-0.836905;-4.972235;-4.604410;-0.794359;0.242666;-3.992324;-3.196051;-0.702354;-0.098137
003_BL04.set;1;-1.048227;-0.511218;-3.905344;-4.384989;1.423605;1.553326;-2.887715;-2.251668;0.496261;1.549123
003_IBOE.set;1;1.666236;1.053651;-1.632816;-1.826994;2.826921;2.953108;-0.098639;0.219040;2.911777;3.101152
004_BL01.set;1;-2.722749;-4.357738;-5.008924;-6.280533;-2.705011;-2.934765;-4.283176;-6.379770;-1.053758;-0.738367
004_BL02.set;1;-3.628564;-3.348678;-5.592274;-6.259047;-3.148733;-3.314117;-4.129677;-5.996936;-0.805778;-0.388179
004_BL03.set;1;-3.622470;-4.063235;-5.765307;-6.158569;-2.270578;-0.848883;-6.749779;-4.153049;-2.410574;0.213403
004_BL04.set;1;-2.096710;-1.489587;-4.989527;-5.605346;-2.515980;-3.550884;-3.631676;-4.755975;0.022675;0.181669
004_IBOE.set;1;0.127544;0.890996;-0.657782;-3.201589;-0.078650;0.558467;0.342244;-0.908297;2.972868;2.939501
005_BL01.set;1;-5.758914;-7.195815;-11.728386;-10.903942;-5.711378;-4.638040;-9.475034;-9.405324;-6.105124;-5.108410
005_BL02.set;1;-5.686964;-7.505865;-11.014233;-11.661122;-5.286788;-6.617693;-9.943558;-10.153355;-6.732831;-5.774625
005_BL03.set;1;-5.994912;-6.760145;-12.158847;-10.749762;-6.399358;-4.915848;-10.603038;-10.568422;-10.624237;-9.099517
005_BL04.set;1;-6.329334;-7.086456;-12.923033;-11.417438;-7.305083;-5.991508;-11.636748;-10.689375;-11.824689;-9.749677
005_IBOE.set;1;-7.102952;-6.087509;-12.633727;-11.271371;-7.264268;-4.977118;-11.231161;-10.707446;-11.139443;-8.428048
006_BL01.set;1;-3.512565;-3.567855;-7.311012;-7.282229;-2.629056;-3.848873;-4.385040;-6.278107;-0.294094;-1.255099
006_BL02.set;1;-4.096933;-5.014869;-7.353170;-8.975539;-2.494389;-3.995021;-3.992652;-6.321096;0.227234;-0.944217
006_BL03.set;1;-4.056615;-4.020873;-7.426594;-7.305250;-3.755165;-3.940446;-5.321851;-7.228977;-1.435766;-2.898147
006_BL04.set;1;-4.200691;-3.364305;-7.184840;-7.299267;-2.089070;-2.995453;-4.780511;-6.566272;-0.885497;-2.193011
006_IBOE.set;1;-2.662461;-2.897118;-6.822640;-7.179077;-2.647269;-3.034332;-4.599312;-5.497517;-0.937193;-1.238112
007_BL01.set;1;-2.491670;-2.023070;-5.038273;-5.550772;-1.679726;-1.340971;-4.016711;-3.984963;0.215564;0.643931
007_BL02.set;1;-2.180246;-1.837437;-4.081102;-5.290346;-0.648015;-0.700506;-3.176844;-4.399613;0.329811;-0.137150
007_BL03.set;1;-1.332070;-0.992337;-3.926226;-4.482399;0.169149;-0.193502;-4.192014;-5.268290;-2.624371;-4.144847
007_BL04.set;1;-1.603884;-2.248042;-4.548648;-5.518566;-1.696152;-2.642174;-4.548102;-5.213338;-3.007605;-3.469018
007_IBOE.set;1;-0.624359;-0.729498;-2.508744;-2.260685;-0.051222;0.237481;-1.351695;-0.890648;1.712343;2.072347
