Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Power
001_BL01.set;1;8.650575
001_BL02.set;1;9.653828
001_BL03.set;1;2.044513
001_BL04.set;1;3.352483
001_IBOE.set;1;2.051747
002_BL01.set;1;3.548504
002_BL02.set;1;2.294080
002_BL03.set;1;2.540760
002_BL04.set;1;4.709205
002_IBOE.set;1;2.052798
003_BL01.set;1;6.474600
003_BL02.set;1;4.140682
003_BL03.set;1;4.194712
003_BL04.set;1;7.311142
003_IBOE.set;1;4.374842
004_BL01.set;1;4.709072
004_BL02.set;1;4.265957
004_BL03.set;1;4.271945
004_BL04.set;1;6.482985
004_IBOE.set;1;7.670924
005_BL01.set;1;-0.106125
005_BL02.set;1;-0.615374
005_BL03.set;1;-1.387304
005_BL04.set;1;-1.936913
005_IBOE.set;1;-2.159300
006_BL01.set;1;2.895785
006_BL02.set;1;2.095132
006_BL03.set;1;2.418111
006_BL04.set;1;3.346195
006_IBOE.set;1;3.006534
007_BL01.set;1;3.303259
007_BL02.set;1;3.901850
007_BL03.set;1;3.494636
007_BL04.set;1;3.849599
007_IBOE.set;1;3.636657
