Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
001_BL01.set;1;14.193117;12.546346;7.362471;8.078764;10.242289;9.031093;7.606610;6.143599;9.220148;8.352232
001_BL02.set;1;17.002878;13.168538;8.571086;9.122933;11.395135;8.388659;8.736948;6.835177;10.135042;9.045409
001_BL03.set;1;3.679455;5.167840;-0.155240;0.525107;4.122862;4.109347;0.607894;1.015176;4.845463;4.982028
001_BL04.set;1;6.746518;7.059667;1.039447;1.742852;5.466154;5.368138;1.473432;1.412914;5.889550;6.245257
001_IBOE.set;1;7.986734;6.611371;1.381081;1.593425;5.255980;4.720272;0.251067;-0.111848;0.963008;-0.004411
002_BL01.set;1;11.391280;9.320516;1.767759;1.729184;8.178552;10.301969;-0.047314;0.141406;4.846172;3.290252
002_BL02.set;1;10.255570;8.800008;1.010585;1.512583;4.845387;4.900575;-1.216378;-1.528434;3.128052;1.129373
002_BL03.set;1;11.352210;8.962662;1.284959;1.351196;3.081539;2.652626;-0.528302;-0.549859;2.498881;1.668700
002_BL04.set;1;12.729708;10.041716;2.558373;2.316648;8.651972;7.067180;2.548902;1.471588;7.067506;5.469785
002_IBOE.set;1;8.071327;7.019394;-0.103373;-0.242924;4.048614;7.875024;-0.975427;0.052667;4.318698;3.286488
003_BL01.set;1;8.020824;9.295687;4.805868;5.065208;9.289206;9.324969;5.265227;5.460938;7.773945;7.782119
003_BL02.set;1;6.236076;7.281679;1.978877;2.731063;6.256396;6.997002;2.790783;3.262280;5.868130;6.147321
003_BL03.set;1;5.829709;7.828104;2.046574;2.585664;6.591440;7.132956;2.964086;3.372970;6.017037;6.103730
003_BL04.set;1;9.093580;10.068268;5.738097;5.187613;10.374176;9.561215;6.470287;6.193062;9.080522;9.161937
003_IBOE.set;1;7.359565;6.844798;2.503496;2.480725;6.485057;6.809573;2.932191;3.327096;6.219703;6.598601
004_BL01.set;1;7.387781;6.296159;3.753262;3.593793;6.812606;6.535067;3.669769;2.030361;6.963899;6.546730
004_BL02.set;1;6.989700;6.709515;2.992348;2.881139;6.672158;6.523281;3.335399;1.836112;5.832740;6.025735
004_BL03.set;1;6.099282;6.324479;3.291303;2.832945;6.283536;7.675876;1.184874;3.840772;4.874412;7.056988
004_BL04.set;1;8.085265;8.859949;5.339069;5.093621;6.751396;5.390959;5.786419;4.900855;8.941943;8.289761
004_IBOE.set;1;9.205904;9.177712;6.467871;4.732891;8.439313;8.100009;7.106945;5.901720;9.865104;9.931328
005_BL01.set;1;5.697145;2.465155;-2.515869;-2.083965;2.569526;4.041766;-1.584846;-1.523073;0.333311;1.795954
005_BL02.set;1;4.457541;2.075378;-2.681870;-2.195511;3.273555;1.796211;-1.949425;-1.844087;0.722870;1.280527
005_BL03.set;1;6.067064;2.708050;-3.284384;-2.442520;1.657490;1.506756;-2.890358;-2.621623;-3.012918;-0.615784
005_BL04.set;1;4.279405;2.345682;-2.506322;-3.218143;-0.235563;1.073839;-4.129659;-3.510509;-4.974364;-1.853905
005_IBOE.set;1;3.065655;2.769064;-4.096522;-3.532070;-0.879467;1.414149;-4.022056;-3.222433;-4.693146;-0.704616
006_BL01.set;1;5.690064;5.882940;0.265996;2.129143;4.702672;5.150757;1.803758;0.984213;6.437850;5.146698
006_BL02.set;1;5.220588;4.602084;-0.294952;-0.588743;5.235126;5.066940;1.416012;1.009294;5.699952;4.983860
006_BL03.set;1;5.482729;6.547134;0.632752;1.794654;4.402392;5.563675;0.496603;0.456393;4.389032;3.300854
006_BL04.set;1;4.932227;6.941469;1.185094;2.344803;5.917788;6.281950;1.950114;1.451573;6.477038;5.220280
006_IBOE.set;1;5.744037;6.331976;0.154394;1.476983;5.354320;5.696622;2.060541;1.353122;6.461136;5.758134
007_BL01.set;1;5.751500;6.475110;1.282792;1.481071;4.722808;6.575701;1.870077;1.941792;6.106039;6.510765
007_BL02.set;1;6.604387;7.435063;2.076275;1.951381;6.145426;7.544903;2.270998;1.764410;6.232978;6.359943
007_BL03.set;1;6.599129;7.036144;2.886096;2.879496;6.613760;7.294137;1.695193;1.698435;3.011879;2.920768
007_BL04.set;1;7.272858;6.372956;2.924570;2.435552;5.579081;4.542832;3.401696;2.797524;3.708716;5.058909
007_IBOE.set;1;6.087345;5.705264;1.868327;2.024457;4.899546;4.996105;2.321065;3.405563;5.397341;6.503781
