Freq. Range[4,7.990000e+00]
Name;#Ephocs;FrontalD;FrontalE;CentralD;CentralE;TempDir;TempEsq;ParietalD;ParietalE;OcipitalD;OcipitalE
001_BL01.set;1;7.339255;5.602460;1.194486;1.860385;4.224324;3.364556;1.630304;-0.177918;3.672568;3.061693
001_BL02.set;1;10.514173;6.373569;2.089616;2.738389;5.374757;2.277872;2.771639;0.460221;4.594788;3.678464
001_BL03.set;1;-2.198276;-1.276350;-5.669601;-5.088037;-0.448470;-0.889125;-4.043700;-4.597068;0.251019;0.262047
001_BL04.set;1;0.229432;0.423489;-4.286831;-3.827554;0.677183;0.639603;-3.273667;-3.700455;1.408431;1.504709
001_IBOE.set;1;1.562683;0.559415;-3.326968;-3.610687;1.054777;0.103803;-4.420513;-5.347826;-3.608291;-4.691592
002_BL01.set;1;3.498121;2.020415;-6.554703;-6.220648;-0.566093;-1.188054;-6.048820;-6.979511;0.595191;-2.078990
002_BL02.set;1;2.609427;1.412931;-6.410186;-5.664109;-1.854665;-2.079328;-6.150525;-7.737367;-0.011627;-3.112845
002_BL03.set;1;3.405043;1.792294;-6.289071;-5.985820;-3.346632;-2.676294;-7.896754;-6.780675;-1.566171;-2.649152
002_BL04.set;1;4.507596;2.317927;-5.313435;-5.467638;0.606282;-0.789700;-4.538934;-5.974890;1.033338;-1.478041
002_IBOE.set;1;1.667423;1.135740;-6.269215;-5.420470;-1.378790;0.137513;-5.196393;-5.122744;0.914798;-0.640178
003_BL01.set;1;0.396646;1.694210;-2.332195;-1.871186;2.165675;2.609437;-1.401874;-0.953539;1.839423;2.718772
003_BL02.set;1;-0.069304;1.097528;-3.660907;-2.867028;0.609295;1.674753;-2.632290;-1.794020;1.254729;2.076554
003_BL03.set;1;-0.324029;1.471873;-3.727818;-3.162816;0.614715;1.272300;-2.243701;-1.892088;1.656451;2.140347
003_BL04.set;1;1.080632;2.283732;-1.894620;-2.090125;2.405086;2.493711;-1.116749;-0.802465;2.347410;3.033627
003_IBOE.set;1;1.104874;0.625754;-3.091118;-3.136561;0.453649;1.309860;-2.687068;-1.909172;0.797373;1.481214
004_BL01.set;1;0.766884;-0.258419;-2.196159;-2.523197;1.476552;1.168853;-1.287277;-3.135399;2.612595;2.698334
004_BL02.set;1;0.551684;0.912533;-2.761910;-2.472156;1.335869;1.132379;-1.148646;-2.556164;2.617140;2.985434
004_BL03.set;1;0.524450;0.171594;-2.330439;-2.371874;1.381213;2.761015;-3.667405;-0.738744;0.939271;3.353258
004_BL04.set;1;1.750051;2.678022;-1.316779;-1.484637;1.096371;-0.204300;0.103041;-1.246043;4.033809;3.784167
004_IBOE.set;1;2.482380;3.233881;1.020826;-0.759729;2.534590;3.188836;2.055869;1.126550;5.223143;4.992708
005_BL01.set;1;-3.468389;-5.564461;-9.471411;-9.129040;-3.974914;-3.377936;-7.146584;-7.279414;-3.773472;-2.500633
005_BL02.set;1;-2.883407;-5.411285;-9.272787;-9.556467;-3.648269;-5.001065;-7.431410;-7.238521;-3.549536;-2.374742
005_BL03.set;1;-2.493226;-4.313840;-10.282128;-8.826570;-5.318878;-4.285076;-8.610594;-8.466387;-7.806369;-6.188066
005_BL04.set;1;-3.302476;-4.510853;-10.597018;-9.283388;-6.936532;-5.231888;-10.053795;-8.926087;-10.555417;-7.582354
005_IBOE.set;1;-4.230970;-3.595757;-10.372557;-9.339871;-6.290682;-4.709848;-9.739591;-9.095766;-9.865135;-6.715995
006_BL01.set;1;0.371214;0.776204;-3.825104;-2.891904;0.274918;0.099083;-0.626175;-2.440379;5.694328;3.562952
006_BL02.set;1;0.344325;-0.693225;-4.070073;-5.175862;1.728785;1.224028;-0.987163;-2.429369;4.019668;2.812343
006_BL03.set;1;0.207076;0.544936;-3.924466;-3.151776;-0.314606;0.231981;-2.604703;-3.917140;2.209564;0.457618
006_BL04.set;1;-0.809572;0.897031;-3.931469;-3.122579;1.028175;1.053518;-0.734064;-2.569381;5.191707;3.093033
006_IBOE.set;1;0.807846;0.255285;-4.084682;-4.284562;1.281904;0.878528;-1.423786;-2.529545;3.485574;2.424373
007_BL01.set;1;-0.015491;0.264458;-3.428092;-3.411005;0.230329;0.767520;-2.558914;-2.436954;2.146826;2.570909
007_BL02.set;1;0.255919;0.732299;-3.115328;-3.485021;0.592119;1.079842;-2.254895;-3.048198;2.014553;1.651583
007_BL03.set;1;0.458882;0.915316;-2.746505;-2.516618;0.424134;1.307033;-3.658347;-3.610934;-1.691506;-2.570803
007_BL04.set;1;0.909370;0.181845;-2.398888;-2.773326;-0.285772;-0.904260;-2.780528;-3.019787;-1.378838;-1.279019
007_IBOE.set;1;0.095183;-0.083673;-3.051696;-2.967115;0.308546;0.691359;-2.398596;-1.747047;0.784982;1.388706
